FECHA;PRECTOTCORR;ALLSKY_SFC_SW_DWN
20000101;1,41;18,7
20000102;2,2;19,14
20000103;0,3;14,36
20000104;0,26;18,77
20000105;0,16;20,76
20000106;0,94;18,53
20000107;14,74;17,46
20000108;1,41;19,31
20000109;0,2;19,32
20000110;0,23;20,58
20000111;0,2;19,06
20000112;0,6;16,8
20000113;0,53;22,4
20000114;0,46;22,31
20000115;3,07;16,33
20000116;0,32;16,42
20000117;0,52;17,05
20000118;0,35;13,88
20000119;0,62;14,51
20000120;0,12;18,39
20000121;0,11;16,68
20000122;0,04;21,08
20000123;0,06;19,84
20000124;0,15;20,17
20000125;0,17;20,83
20000126;0,08;20,59
20000127;0,08;21,6
20000128;0,49;22,36
20000129;0,53;18,77
20000130;0,29;21,52
20000131;0,18;18,77
20000201;0,11;19,52
20000202;0,15;19,29
20000203;0,14;18,48
20000204;0,03;18,62
20000205;0,09;20,28
20000206;0;21,54
20000207;0;17,43
20000208;0;20,25
20000209;0,05;23,51
20000210;0,44;22,44
20000211;0,17;22,04
20000212;0,18;22,83
20000213;0,1;23,13
20000214;0,71;24,22
20000215;1,43;22,11
20000216;0,47;19,66
20000217;0,06;21,38
20000218;0,07;19,67
20000219;1,72;22,1
20000220;0,99;20,51
20000221;0,06;21,57
20000222;0,24;19,27
20000223;0,26;16,82
20000224;0,08;10,47
20000225;0,03;11,61
20000226;0,44;16,98
20000227;0,63;15,82
20000228;0,78;16,71
20000229;0,4;15,12
20000301;0,46;9,69
20000302;0,18;16,73
20000303;0,01;16,79
20000304;0;18,11
20000305;0,03;18,9
20000306;0,08;20,61
20000307;0,34;20,42
20000308;0;23,43
20000309;0,08;23,06
20000310;0,12;21,7
20000311;0,11;21,56
20000312;0,22;20,15
20000313;0,06;20,51
20000314;0,01;20,16
20000315;0,19;21,33
20000316;0,01;18,55
20000317;0,05;22,7
20000318;0,02;25,7
20000319;0,03;24,16
20000320;0;24,95
20000321;0,06;24,86
20000322;0,18;21,75
20000323;0,8;15,82
20000324;0,58;19,58
20000325;0,97;13,99
20000326;0,05;14,76
20000327;0,32;17,51
20000328;0,01;21,73
20000329;0;23,23
20000330;0,03;21,23
20000331;0,08;21,83
20000401;0,02;25,68
20000402;0;18,67
20000403;0,01;21,21
20000404;0,02;20,52
20000405;0,42;15,87
20000406;2,31;14,12
20000407;0,24;16,69
20000408;0;17,43
20000409;0,02;23,61
20000410;13,74;24,32
20000411;4,69;18,98
20000412;0,66;19,57
20000413;0,09;21,34
20000414;0,27;20,5
20000415;0,16;21,56
20000416;0,56;21,37
20000417;1,32;15,33
20000418;2,1;16,75
20000419;0,7;20,55
20000420;0,01;16,47
20000421;0;21,46
20000422;0,92;15,96
20000423;0,98;20,09
20000424;0,03;20,77
20000425;0;17,05
20000426;0;23,82
20000427;0;24,28
20000428;0,01;23,55
20000429;0,04;22,58
20000430;0,04;21,33
20000501;0,06;22,92
20000502;3,78;20,2
20000503;0,96;19,14
20000504;0,59;18,42
20000505;0,11;14,95
20000506;0,09;15,45
20000507;7,83;18,99
20000508;1,43;18,95
20000509;0,12;19,26
20000510;0,4;18,22
20000511;0,5;12,84
20000512;0,67;17,48
20000513;0,81;15,45
20000514;10,1;16,77
20000515;1,52;16,88
20000516;0,02;16,88
20000517;0,1;20,11
20000518;0,04;24,43
20000519;2,07;23,89
20000520;0,85;21,21
20000521;0,14;12,25
20000522;3,93;16,88
20000523;0,42;21,11
20000524;4,07;11,73
20000525;0,8;18,53
20000526;0,11;24,33
20000527;0,27;21,28
20000528;0,11;22,73
20000529;0,61;16,73
20000530;0,51;16,08
20000531;0,79;18,81
20000601;0,02;22,81
20000602;0,48;23
20000603;0,48;23,99
20000604;0,09;19,41
20000605;0,01;23,21
20000606;0,38;23,66
20000607;0,44;19,08
20000608;0,14;20,41
20000609;3,03;12,37
20000610;0,46;20,78
20000611;0,17;21,13
20000612;0;19,42
20000613;4,98;15,2
20000614;1,21;15,7
20000615;0;22,83
20000616;0,04;22,25
20000617;0,52;19,08
20000618;0,31;19,08
20000619;0,38;22,83
20000620;0,05;22,83
20000621;0,22;16,79
20000622;4,33;19,69
20000623;1,21;20,51
20000624;10,32;15,8
20000625;0,18;21,98
20000626;0,03;24,43
20000627;0,13;24,48
20000628;1,32;20,44
20000629;0,04;17,32
20000630;0;24,14
20000701;0,03;21,54
20000702;0,14;21,83
20000703;3,49;21,5
20000704;5,54;20,77
20000705;0,32;22,64
20000706;49,49;16
20000707;6,93;15,31
20000708;0,16;23,41
20000709;0,16;24,7
20000710;0,12;24,06
20000711;0;22,64
20000712;0,04;23,2
20000713;0,16;18,78
20000714;0,67;12,24
20000715;0,35;22,8
20000716;0,02;24,8
20000717;1,08;23,08
20000718;0,26;22,46
20000719;0,21;22,6
20000720;0,28;21,69
20000721;3,76;16,23
20000722;2,11;18,48
20000723;0,17;25,75
20000724;0,3;24,08
20000725;0,11;19,17
20000726;0,06;16,86
20000727;2,23;18,82
20000728;1,33;14,04
20000729;1,79;14,26
20000730;0,94;20,39
20000731;0,03;22,88
20000801;0,01;22,73
20000802;0,33;20,13
20000803;0,29;23,85
20000804;2,28;16,47
20000805;0,81;16,33
20000806;0,4;20,17
20000807;0,18;19,44
20000808;3,32;16,28
20000809;0,16;24,15
20000810;0,06;23,41
20000811;0,37;25,26
20000812;0,05;23,11
20000813;7,75;19,33
20000814;0,93;24,18
20000815;0,3;24,12
20000816;0,32;21,61
20000817;0,6;23,94
20000818;26,98;21,99
20000819;11,98;12,72
20000820;1,45;22,01
20000821;0,05;22,25
20000822;21,39;21,89
20000823;3,48;22,77
20000824;0,29;23,97
20000825;0,3;20,5
20000826;0,31;22,77
20000827;0,24;21,17
20000828;0,04;22,65
20000829;0,03;23,18
20000830;0,33;25,24
20000831;3,74;19,87
20000901;0,91;16,38
20000902;0,05;16,49
20000903;16,82;19,75
20000904;20,46;17,31
20000905;8,6;20,58
20000906;0,6;19,66
20000907;0,87;22,56
20000908;0,28;22,18
20000909;0,32;14,61
20000910;4,2;22,27
20000911;0,95;20,38
20000912;0,07;24,28
20000913;0,21;23,87
20000914;15,03;24,15
20000915;58,78;21,6
20000916;19,52;20,4
20000917;0,24;13,87
20000918;0,24;17,9
20000919;14,91;22,94
20000920;19,78;19
20000921;11,2;16,74
20000922;1,15;19,36
20000923;3,06;22,45
20000924;3,78;17,77
20000925;0,43;22,1
20000926;0,21;20,1
20000927;1,38;19,92
20000928;1,75;21,92
20000929;0,77;17,61
20000930;0,38;18,28
20001001;1,16;20,64
20001002;13,85;18,44
20001003;7,85;18,2
20001004;0,41;23,82
20001005;0,04;18,12
20001006;0;22,17
20001007;0,35;21,98
20001008;0,09;21,09
20001009;0,24;19,54
20001010;0,48;13,93
20001011;0,75;21,79
20001012;0,75;21,67
